entso_unit_id,platts_plant_id,gppd_plant_id
11WD7WSFN1S--E-Z,1032932,WRI1006141
17W100P100P0009R,1012119,WRI1002760
19W000000000017D,1015570,WRI1023817
19W000000000025E,1015570,WRI1023817
19W0000000000296,1015570,WRI1023817
19W000000000032H,1015570,WRI1023817
19W000000000178Q,1015579,WRI1019033
49W000000000020D,1067399,WRI1019289
11WD7HERN2S--4-X,1030333,WRI1005904
11WD7WSFN1S--E-Z,1032932,WRI1006141
16WSINES3------0,1012748,WRI1023227
19W000000000178Q,1015579,WRI1019033
44W-T-YT-100001J,1018282,WRI1002325
49W000000000020D,1067399,WRI1019289
49W000000000030A,1016872,WRI1019296
49W0000000000326,1016872,WRI1019296
